gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,associate's degree,standard,none,69,75,75
female,group B,high school,standard,none,74,90,83
female,group E,some college,free/reduced,none,41,60,55
female,group B,some high school,free/reduced,none,36,51,49
female,group C,some college,standard,completed,59,66,71
female,group B,high school,free/reduced,none,61,74,71
female,group D,some college,standard,completed,81,99,96
male,group C,master's degree,free/reduced,none,55,54,52
female,group B,associate's degree,standard,completed,91,99,100
male,group C,associate's degree,free/reduced,completed,46,46,48
female,group D,some high school,standard,none,25,33,32
female,group A,high school,standard,completed,68,75,73
male,group C,some college,standard,none,50,40,44
female,group D,high school,standard,none,54,62,62
female,group D,high school,standard,none,58,66,70
male,group C,associate's degree,free/reduced,none,82,73,74
male,group D,some high school,standard,none,90,93,84
female,group E,high school,standard,none,79,78,83
female,group C,bachelor's degree,free/reduced,completed,54,57,63
female,group A,associate's degree,free/reduced,none,41,49,51
female,group D,bachelor's degree,standard,completed,60,74,72
female,group B,some college,standard,none,58,64,56
male,group C,bachelor's degree,free/reduced,none,51,53,51
female,group D,some college,standard,none,68,76,79
male,group C,high school,free/reduced,none,75,79,68
female,group B,high school,free/reduced,none,30,47,46
female,group D,some high school,standard,completed,54,77,78
male,group E,high school,free/reduced,none,81,84,78
male,group C,some college,standard,none,80,66,66
male,group B,associate's degree,standard,none,72,67,64
male,group D,some college,standard,none,63,60,53
female,group C,some college,free/reduced,completed,41,59,56
male,group D,some college,free/reduced,none,62,61,57
male,group C,associate's degree,standard,none,49,53,47
female,group E,high school,free/reduced,completed,66,66,75
female,group A,some college,standard,none,83,91,92
female,group D,some college,free/reduced,none,43,48,53
female,group A,high school,standard,none,61,69,66
male,group C,some high school,standard,completed,86,89,87
male,group E,some high school,free/reduced,none,66,60,59
female,group C,some high school,standard,none,67,72,71
female,group D,some high school,standard,none,74,75,74
female,group E,associate's degree,standard,none,92,100,99
female,group D,high school,standard,completed,91,100,100
male,group D,associate's degree,standard,none,96,93,87
female,group A,associate's degree,standard,none,61,65,59
male,group C,some high school,standard,none,28,27,23
female,group C,associate's degree,free/reduced,none,35,40,45
male,group C,associate's degree,standard,none,88,80,81
female,group B,associate's degree,standard,none,75,95,94
male,group D,high school,standard,completed,82,82,82
male,group D,high school,free/reduced,completed,38,38,41
female,group B,some college,standard,completed,47,58,56
male,group C,high school,standard,completed,72,67,67
male,group E,bachelor's degree,free/reduced,none,87,79,72
female,group B,some high school,free/reduced,none,65,83,77
female,group C,bachelor's degree,standard,none,63,74,75
female,group D,bachelor's degree,free/reduced,completed,81,96,99
male,group C,associate's degree,free/reduced,completed,47,49,49
female,group D,high school,standard,completed,85,98,99
male,group B,some college,standard,none,60,59,53
male,group A,high school,free/reduced,none,70,74,65
female,group D,some high school,free/reduced,none,60,69,70
male,group A,some college,standard,none,70,73,70
female,group D,some college,standard,none,71,74,80
female,group C,some college,standard,none,85,92,84
male,group C,some college,free/reduced,completed,70,75,74
male,group C,associate's degree,standard,none,91,84,77
female,group C,associate's degree,standard,none,44,49,53
female,group E,high school,free/reduced,completed,80,94,97
male,group A,associate's degree,free/reduced,completed,75,67,67
female,group B,some college,standard,none,56,61,65
male,group E,some college,free/reduced,completed,72,73,75
male,group C,bachelor's degree,standard,none,73,67,73
male,group C,associate's degree,standard,none,76,74,67
female,group C,master's degree,standard,completed,79,87,89
male,group D,some college,free/reduced,completed,67,78,70
female,group B,high school,free/reduced,none,67,77,81
male,group D,associate's degree,standard,completed,99,100,100
male,group E,master's degree,standard,completed,84,76,81
female,group A,some college,free/reduced,none,54,56,58
male,group D,bachelor's degree,standard,none,71,67,64
female,group C,bachelor's degree,standard,none,64,82,80
male,group D,master's degree,free/reduced,none,83,86,87
male,group D,some high school,standard,none,59,48,48
male,group C,some college,standard,none,66,68,62
female,group D,associate's degree,free/reduced,none,39,65,64
male,group D,some high school,free/reduced,completed,46,53,54
female,group C,bachelor's degree,standard,none,79,86,78
male,group B,associate's degree,free/reduced,none,60,59,52
male,group C,high school,free/reduced,completed,41,57,55
female,group E,some college,standard,none,89,93,98
female,group E,some high school,standard,completed,90,96,98
male,group B,bachelor's degree,standard,completed,62,60,55
female,group D,associate's degree,standard,completed,67,71,76
male,group C,master's degree,standard,none,80,79,73
female,group C,master's degree,standard,none,75,82,81
male,group E,associate's degree,standard,none,83,83,78
female,group D,master's degree,standard,none,44,39,37
female,group E,some college,standard,none,64,68,60
female,group A,some high school,standard,completed,64,81,87
female,group C,some high school,standard,none,62,64,64
female,group C,high school,standard,none,61,57,55
female,group D,high school,standard,completed,63,78,74
female,group D,high school,standard,completed,50,72,70
female,group B,high school,free/reduced,completed,60,66,64
male,group C,some high school,standard,completed,60,51,55
male,group B,bachelor's degree,standard,completed,88,82,82
female,group B,some college,free/reduced,completed,47,61,64
female,group C,associate's degree,free/reduced,none,52,65,60
male,group E,some college,standard,completed,91,76,78
female,group C,some college,standard,none,77,79,78
male,group C,some college,free/reduced,none,83,62,64
female,group C,high school,free/reduced,completed,66,81,75
male,group E,some college,standard,none,98,79,85
female,group A,some high school,free/reduced,none,57,70,71
female,group E,some high school,standard,none,78,86,80
male,group A,some high school,standard,none,83,77,77
female,group D,associate's degree,standard,completed,73,87,83
male,group D,master's degree,standard,none,82,84,81
male,group E,high school,free/reduced,completed,74,67,61
male,group C,high school,free/reduced,none,66,66,62
male,group C,some college,free/reduced,none,60,67,61
female,group D,some college,free/reduced,completed,64,82,80
female,group B,some high school,standard,completed,69,76,72
female,group C,some college,standard,none,84,88,84
male,group B,associate's degree,standard,completed,79,77,75
female,group C,associate's degree,standard,completed,71,84,88
male,group D,associate's degree,standard,none,74,69,63
